"Id","Code","Name","Standard Class","Domain","Vocab","Validity","Concept"
742595,197458,"chloral hydrate 325 MG Rectal Suppository","Clinical Drug","Drug","RxNorm","Valid","Standard"
742596,197459,"chloral hydrate 500 MG Oral Capsule","Clinical Drug","Drug","RxNorm","Valid","Standard"
742598,197461,"chloral hydrate 650 MG Rectal Suppository","Clinical Drug","Drug","RxNorm","Valid","Standard"
742599,212595,"chloral hydrate 325 MG Rectal Suppository [Aquachloral Supprettes]","Branded Drug","Drug","RxNorm","Valid","Standard"
742601,243628,"chloral hydrate 250 MG Oral Capsule","Clinical Drug","Drug","RxNorm","Valid","Standard"
742625,315621,"chloral hydrate 250 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
742626,315622,"chloral hydrate 325 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
742627,315623,"chloral hydrate 50 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
742628,315624,"chloral hydrate 500 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
742629,315625,"chloral hydrate 650 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
742653,332751,"chloral hydrate 40 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
742654,351793,"chloral hydrate 500 MG Oral Capsule [Somnote]","Branded Drug","Drug","RxNorm","Valid","Standard"
742655,755618,"chloral hydrate 100 MG/ML Oral Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
742657,755621,"chloral hydrate 50 MG/ML Oral Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
742658,756273,"chloral hydrate 28.6 MG/ML Oral Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
19004297,104680,"chloral hydrate 414 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
19018846,197460,"chloral hydrate 500 MG Rectal Suppository","Clinical Drug","Drug","RxNorm","Valid","Standard"
19034609,575586,"chloral hydrate 500 MG [Somnote]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19047239,212630,"chloral hydrate 650 MG Rectal Suppository [Aquachloral Supprettes]","Branded Drug","Drug","RxNorm","Valid","Standard"
19054882,572765,"chloral hydrate 325 MG [Aquachloral Supprettes]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19054883,572787,"chloral hydrate 650 MG [Aquachloral Supprettes]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
